TME COD.;Criticidade;Identificação Falha;Categoria Pendência;Descrição Falha;Data Inicio;Data Fim;Dias Em Falha;Status Falha
PBA01;Urgente;13/12/2022;Falha de Comunicação;Atraso de coleta. Último dado recebido dia 12/12/2022.;12/12/2022;28/12/2022;16;Normalizada
AS403;Urgente;14/12/2022;Falha de Comunicação;Atraso de coleta.;13/12/2022;02/01/2023;20;Normalizada
PBA01;Baixa;01/01/2023;Sensores / DataLogger;Desalinhamento entre WVs de aprox. 12 graus;;15/03/2024;0;Normalizada
PBA01;Media;12/08/2022;Sensores / DataLogger;Um dos paines solares apresenta falha na trilha e precisa ser substituído;;;0;Normalizada
DT304;Baixa;21/12/2022;Sensores / DataLogger;Substituir caixa da bateria do sistema principal;21/12/2022;23/06/2023;184;Normalizada
DT308;Alta;19/12/2022;Sensores / DataLogger;Falha de Alimentação no Sistema de Comunicação.;18/12/2022;;1191;Normalizada
DT501;Baixa;21/12/2022;Sensores / DataLogger;Substituir balizamento intermediario;;08/07/2024;0;Normalizada
AS505;Alta;28/11/2022;Sensores / DataLogger;Barômetro apresentando ruído. Em 06/01/22, a falha foi minimizada após verificação, porém voltou a impactar as medições no início de fevereiro.;15/11/2022;19/04/2023;155;Normalizada
AS402;Alta;13/06/2022;Sensores / DataLogger;Necessário finalizar o aterramento, cabo solto na base da torre. Aguardando relatório.;16/06/2022;;1376;Normalizada
AS406;Alta;21/11/2022;Sensores / DataLogger;Barometro em falha;16/11/2022;28/12/2022;42;Normalizada
AS406;Alta;25/11/2022;Sensores / DataLogger;Windvane 1 em falha;22/11/2022;28/12/2022;36;Normalizada
AS506;Urgente;07/11/2022;Falha de Comunicação;"Falha de comunicação
Problema no sw da AS406, onde é feita a integração entre os links de rádio que passam pela torre.";29/10/2022;03/01/2023;66;Normalizada
ASD09;Urgente;06/12/2022;Falha de Comunicação;Pendente da instalação do modem bgan para comunicação remota;06/12/2022;28/12/2022;22;Normalizada
ASD12;Alta;08/03/2022;Sensores / DataLogger;Pireliômetro e ambas as Células Calibradas apresentam um offset de aprox. 30 W/m² e 10 W/m² respectivamente, durante o período noturno. Sensores apresentam leve divergência em relação ao Piranômetro 1.;;01/03/2024;0;Normalizada
ASU04;Urgente;10/06/2022;Sensores / DataLogger;"Reincidência de falha para Anemômetros. Medições apresentam falhas intermitentes, possivelmente associadas ao DPS.
Dados ONS impactados.";09/05/2022;;1414;Normalizada
ASU05;Baixa;30/07/2022;Sensores / DataLogger;Refazer o cabo de aterramento do datalogger, Substituir filtro do Barômetro e Realizar a retirada dos cabos de instrumentação soltos na torre e Limpar paineis solares sujos de tinta;30/07/2022;;1332;Normalizada
CPS01;Urgente;08/11/2021;Sensores / DataLogger;WV1 apresentando falhas intermitentes. Sinal ruidoso (pode ser observado pela direção mínima e Desvio Padrão). Baixo impacto sobre a medição;03/11/2021;17/03/2023;499;Normalizada
DIA02;Baixa;06/09/2022;Sensores / DataLogger;Instalar filtro equalizador no Barômetro;06/09/2022;03/10/2024;758;Normalizada
DIA02;Media;06/09/2022;Sensores / DataLogger;"refixar cabos dos instrumentos na torre;  Nivelar haste do windvane inferior; limpar respingos de tinta dos paineis solares";;01/07/2024;0;Normalizada
DIA03;Baixa;22/12/2022;Sensores / DataLogger;Limpar respingos de tinta dos paineis solares;;;0;Normalizada
DIA03;Urgente;31/10/2022;Sensores / DataLogger;Falha da temperatura;24/10/2022;22/12/2022;59;Normalizada
LAJ01;Baixa;22/12/2022;Sensores / DataLogger;Limpar respingos de tinta dos paineis solares e Refixar cabos de instrumentos na torre próximo ao anti-torção;;;0;Normalizada
LAJ03;Media;22/12/2022;Sensores / DataLogger;Desalinhamento entre Wind Vanes;;;0;Normalizada
LAJ09;Urgente;18/12/2022;Falha de Comunicação;Falha de comunicação. Aero desligado devido a uma manutenção na PA;17/12/2022;;1192;Normalizada
CER18;Urgente;20/12/2019;Falha de Comunicação;"COMUNICAÇÃO PAUSADA DEVIDO A NECESSIDADE DE INSTALAÇÃO DE RADIO COMUNICADOR.
27/12: No dia da instalação do Radio, conseguimos acessar o logger, mas sem acesso posterior.";19/12/2022;03/01/2023;15;Normalizada
ASD13;Urgente;26/12/2022;Sensores / DataLogger;Falha para canal de umidade relativa do sensor PTH. Aguardando instalação do novo sensor PTH.;16/12/2022;09/05/2023;144;Normalizada
HER28;Alta;21/10/2022;Sensores / DataLogger;Falha para Termo-Higrômetro. Após atendimento em 20/03, falha retornou em 5 dias.;20/10/2022;20/04/2023;182;Normalizada
HER30;Alta;19/12/2022;Falha de Comunicação;Falha de comunicação.;16/12/2022;16/01/2023;31;Normalizada
GER01;Urgente;16/12/2022;Falha de Comunicação;Falha de comunicação.;15/12/2022;10/01/2023;26;Normalizada
CHU04;Media;31/01/2022;Sensores / DataLogger;"Substituir cabo de descida do aterramento do datalogger.
Falha normalizada após a substituição dos equipamentos e estrutura.";;09/11/2024;0;Normalizada
CHU04;Media;17/02/2022;Sensores / DataLogger;Thermo-higômetro apresentando sinais fisicos de oxidação severa na carcaça;;01/10/2024;0;Normalizada
CHU04;Alta;04/11/2022;Sensores / DataLogger;Thermo-higômetro apresentando ruído na medição, correlacionado a tensão de alimentação do Data Logger.;31/10/2022;;1239;Normalizada
CHU06;Urgente;01/11/2022;Falha de Comunicação;Falha de comunicação (fibra). Atraso de Coleta;29/10/2022;29/11/2023;396;Normalizada
CHU07;Baixa;12/12/2022;Sensores / DataLogger;Desalinhamento entre Wind Vanes. Aprox. 10°;;15/11/2024;0;Normalizada
CHU07;Alta;12/12/2022;Sensores / DataLogger;Falha para Termo-Higrômetro.;11/12/2022;06/01/2023;26;Normalizada
CHU01;Urgente;16/12/2022;Falha de Comunicação;Falha de comunicação (fibra). Atraso de Coleta;15/12/2022;19/04/2023;125;Normalizada
GER10;Baixa;16/02/2022;Sensores / DataLogger;Retirar cabos que não estão sendo utilizados;;;12;Falha Ativa
GER10;Alta;25/11/2022;Sensores / DataLogger;Falha geral para ANM 1;17/11/2022;04/03/2023;107;Normalizada
