CLUSTER,TME COD.,USO_TORRE,NUMBER,DATA_INSTALACAO
VDB,ABO01,RN,480,2015-11-11
ART,ART01,DD," ",2020-12-24
ART,ART02,DD," ",2021-03-03
ART,ART03,DD," ",2021-05-18
ASR,AS401,rn,,2022-08-04
ASR,AS402,rn,,2022-01-16
ASR,AS403,rn,,2022-08-19
ASR,AS404,RN,,2021-06-21
ASR,AS405,RN,,2021-06-21
ASR,AS406,RN,,2021-12-13
ASR,AS501,RN," ",2023-04-05
ASR,AS502,RN,,2022-12-21
ASR,AS503,RN,,2023-02-21
ASR,AS504,RN,,2023-01-09
ASR,AS505,RN,,2022-05-06
ASR,AS506,RN,,2022-06-03
ASR,ASD05,DD,,2022-10-22
ASR,ASD07,DD,,2023-09-22
ASR,ASD09,DD,,2022-12-07
ASR,ASD10,DD,,2022-11-14
ASR,ASD11,DD,,2022-08-04
ASR,ASD12,DD,,2022-11-09
ASR,ASD13,DD,,2022-12-16
ASR,ASU02,RN,354,2015-03-18
ASR,ASU03,RN,659,2017-11-24
ASR,ASU04,RN,468,2015-08-17
ASR,ASU05,RN,292,2014-12-12
ASR,ASU07,RN,467,2015-08-15
VDB,BVI01,RN,537,2016-03-08
ASR,CAP03,RN,647,2016-09-29
ASR,CER18,DD,,2019-06-24
ASR,CER19,DD,,2019-06-22
CHU,CHU01,RN,264,2014-08-09
CHU,CHU02,RN,265,2014-08-11
CHU,CHU04,RN,266,2014-08-14
CHU,CHU05,RN,268,2014-09-24
CHU,CHU06,RN,267,2014-08-06
CHU,CHU07,RN,269,2014-08-05
CHU,CHU09,MO,321,2015-01-29
VDB,COL01,RN,536,2016-03-03
ASR,CPS01,MO,662,2016-05-20
ASR,CPS02,RN,646,2015-10-29
ASR,DIA02,RN,664,2016-09-27
ASR,DIA03,RN,645,2016-09-28
DPI,DT101,DD,,2023-09-28
DPI,DT102,DD,,2023-09-22
DMA,DT301,MO,600,2015-11-10
DMA,DT302,RN,602,2015-11-11
DMA,DT303,MO,605,2015-11-14
DMA,DT304,MO,599,2015-11-17
DMA,DT305,MO,604,2015-11-16
DMA,DT306,MO,598,2016-10-09
DMA,DT307,RN,595,2016-06-26
DMA,DT308,MO,601,2016-06-26
DMA,DT501,MO,689,2018-09-01
DMA,DT502,RN,748,2018-09-02
DMA,DT601,RN,747,2018-09-03
DMA,DT602,RN,688,2018-09-04
DMA,DT701,MO,,2019-08-24
DMA,DT702,MO,,2019-08-22
DMA,DT801,MO,,2019-08-24
ASR,CER05,DD,,2022-05-04
ASR,ASD06,DD,,2022-12-18
ASR,CER06,DD,,2011-06-14
ASR,ASD14,DD,,2024-11-08
ASR,ASD08,DD,,2023-12-07
CHU,GER01,MO,251,2014-10-02
CHU,GER02,MO,252,2014-05-25
CHU,GER03,MO,253,2014-06-19
CHU,GER04,RN,254,2014-06-21
CHU,GER05,RN,255,2014-06-23
CHU,GER06,RN,256,2014-05-24
CHU,GER07,MO,257,2014-05-21
CHU,GER08,MO,258,2014-06-26
CHU,GER09,MO,259,2014-05-22
CHU,GER10,RN,260,2014-05-09
GN,GND01,RN,,2011-01-12
GN,GND02,RN,,2023-04-07
GN,GND03,MO,,2011-04-13
GN,GND04,MO,,2023-04-07
GN,GND05,RN,,2012-09-12
GN,GND06,MO,,2023-04-07
GN,GND07,DD,,2023-07-13
GN,GNW01,RN,,2023-07-13
CHU,HER24,MO,358,2015-04-13
CHU,HER25,MO,330,2015-02-13
CHU,HER26,MO,359,2015-04-14
CHU,HER27,MO,333,2015-02-17
CHU,HER28,RN,331,2015-02-11
CHU,HER29,MO,322,2015-02-11
CHU,HER30,MO,360,2015-04-12
CHU,HER31,RN,332,2015-02-13
CHU,HER34,MO,361,2015-04-14
CHU,HER35,RN,362,2015-04-11
CHU,HER36,MO,334,2015-02-19
ASR,LAJ01,MO,660,2016-05-20
ASR,LAJ02,RN,644,2016-11-09
ASR,LAJ03,MO,739,2018-08-03
ASR,LAJ05,RN,661,2016-09-28
ASR,LAJ09,RN,740,2018-08-15
DPI,PBA01,RN,175,2013-05-01
DPI,PDD01,RN,643,2017-07-15
ASR,PEC01,DD,,2020-12-21
DPI,PPA01,RN,174,2013-05-24
DPI,PSA01,RN,173,2013-04-28
DPI,TBR01,RN,357,2015-02-07
DPI,TBR03,RN,551,2016-02-01
VDB,VDB01,RN,603,2016-12-10
VDB,VDB03,RN,614,2017-01-27
VDB,VDB09,RN,615,2017-01-28
VDB,VDB13,RN,763,2019-09-02
VDB,VDB14,RN,762,2019-09-07
VDB,VDB18,RN,616,2017-01-26
VDB,VDB23,RN,761,2019-09-18
VDB,VDB27,RN,760,2019-09-14
US,SRD01,DD,,2025-11-21
DMA,DT601-R,MO,,2025-12-28
US,SRD02,DD,,2026-01-22
US,SRD03,DD,,2026-02-03
US,SRD04,DD,,2026-02-04
US,SRD05,DD,,2026-02-25
